,DUNDY COUNTY LIBRARY,102 6th Av East,PO BOX 53,BENKELMAN,69021,DUNDY,(308) 423-2333,Western Library System,768,"1,561",0,0,1960,2017,Yes,No,No,No,N/A,"3,000",41,CO,SO,CO1,Y,ME,N,1,"1,435",7/1/2023,6/30/2024,$0,,,Dundy,"$70,698",,,"$70,698",$807,$0,$0,$0,$807,$0,,$0 ,$0,$0,$0,"Summer reading, copies, fines","$1,373","$1,373","$72,878",$0,$0,$0,$0,$0,Yes,Out of county cardholders,$4,$4,,"$37,564","$21,473","$59,037",1,,,,1,1,1,1,,1,,"$7,327",$500,$168,"$7,995",$107,$900,$0,$0,"$7,244","$8,251","$75,283",$0,"12,569",392,88,"12,873",242,7,0,249,"2,357",79,2,"2,434",5,0,0,5,N/A,0,0,0,0,"15,168",478,90,"15,556",Headphones - 7,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,092","5,772",CT - Annual Count,"5,772",CT - Annual Count,684,CT - Annual Count,"3,336","1,496",0,"4,832",490,28,518,49,0,49,"1,379",179,"1,558",0,0,0,"2,125","5,254","1,703","6,957",No,No,Yes,No,No,No,0,5,0,N/A,0,2,1,3,1,1,0,5,3,2,0,5,23,32,55,7,4,0,66,49,17,0,66,0,0,0,0,0,0,Yes,128,No,0,No,0,Yes – for all items,1,1,1,1,N/A,,1,1,1,1,N/A,,Yes,0,No,,1,,,,Yes,Koha,Yes,5,Command IQ,BW Telcom,Fiber Optic,Yes,NA,ES - Annual Estimate Based on Typical Week(s),50.1 Mbps - 100.0 Mbps,No,N/A,N/A,93,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,No,,,Yes - Informal or one on one training,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,No,No,No,0,1,40,1,1,40,1,1,8,0.20,1,Library Director,$21.57,7,2,Christine Egger,Library Director,2/13/2025
,DVORACEK MEMORIAL LIBRARY,419 WEST THIRD STREET,PO BOX 803,WILBER,68465,SALINE,(402) 821-2832,Southeast Library System,"1,931","1,931",0,0,1968,2019,Yes,No,No,No,n/a,"7,200",52,CI,SO,CD1,Y,ME,N,1,"1,820",10/1/2023,9/30/2024,"$100,000",,,,,,,"$100,000","$1,059",$0,$0,$0,"$1,059",$0,,$0 ,$0,$103,$0,"Donations, Interest, copies","$27,514","$27,617","$128,676",$0,$0,$0,$0,$0,No,n/a,$0.00,$0.00,15,"$49,348","$5,039","$54,387",1,1,1,1,1,1,1,1,1,1,HSA,"$8,318",$500,$0,"$8,818",$881,"$3,632","$1,763",$386,"$26,495","$33,157","$96,362",$0,"22,216",707,"2,382","20,541",276,0,0,276,945,6,52,899,3,0,0,3,"cake pans, puzzles, games",267,54,27,294,"23,704",767,"2,461","22,010","headphones, microfilm",n/a,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,747,"15,064",CT - Annual Count,215,CT - Annual Count,"1,268",CT - Annual Count,"3,905","8,653",197,"12,755",673,98,771,677,2,679,"1,366",167,"1,533",0,0,0,"2,983","6,621","8,920","15,738",Yes,No,Yes,No,No,No,0,1,0,Yes,811,2,18,20,0,79,1,100,99,1,0,100,76,"1,392","1,468",0,545,78,"2,091","1,841",242,8,"2,091",0,0,0,"1,356",546,62,Yes,250,No,n/a,No,n/a,No,0,0,0,0,n/a,0,0,0,0,0,n/a,0,Yes,185,No,0,0,0,1,n/a,Yes,Biblionix/Apollo,Yes,6,DNSFilter,Windstream,Fiber Optic,Yes,n/a,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,485,236,Yes - Permanently allocated makerspace,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,n/a,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,n/a,2,45,1,0,0,0.00,1,10,0.25,1,Director,$20.47,3,10,Holly Baber,Director,1/17/2025
,DWIGHT COMMUNITY LIBRARY,120 N 2nd Street,P. O. BOX 82,DWIGHT,68635,BUTLER,402-566-2111,Southeast Library System,230,230,0,0,1890,,,,,,,"1,320",,CI,SO,PL1,Y,ME,N,1,0,1/1/2024,12/31/2024,,,,,,,,$0,$200,,,,$200,,,$0 ,$0,,,,,$0,$200,,,,,$0,,,,,,,,$0,,,,,,,,,,,,,,,$0,,,,,,$0,$0,,"7,930",,,"7,930",58,,,58,86,,,86,0,,,0,,0,,,0,"8,074",0,0,"8,074",,,,,No,,,,,,No,,,No,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,0,0,0,,,Yes,,,No,,,,,,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,0.00,,,,,,,
,EASTERN TOWNSHIP LIBRARY,206 WEST MAIN STREET,PO BOX 455,CROFTON,68730,KNOX,(402) 388-4915,Three Rivers Library System,759,759,0,0,1984,2017,Yes,No,No,No,N/A,"3,960",52,CI,SO,CD1,Y,ME,N,1,"1,040",10/1/2023,9/30/2024,$0,Eastern,"$29,557",Knox,"$5,000",,,"$34,557",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,,,$0,"$34,757",0,0,0,0,$0,No,n/a,n/a,n/a,0,"$14,644","$1,120","$15,764",,,,,,,,,,,,"$4,763",$0,$0,"$4,763",$0,$0,$0,$0,"$6,695","$6,695","$27,222",$0,"6,748",623,714,"6,657",72,0,6,66,43,15,2,56,2,0,0,2,cake pans,34,0,3,31,"6,897",638,725,"6,810",N/A,0,No,No,No,No,No,No,No,No,No,No,No,No,375,"2,921",ES - Annual Estimate Based on Typical Week(s),114,ES - Annual Estimate Based on Typical Week(s),410,CT - Annual Count,"3,785","8,723",0,"12,508",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,785","8,723","12,508",No,No,Yes,No,No,No,0,41,0,N/A,,46,8,54,0,0,46,100,100,0,0,100,221,38,259,0,0,198,457,457,0,0,457,0,0,0,0,0,0,Yes,198,No,n/a,No,n/a,No,,,,,,,,,,,,,Yes,26,No,,,,,,Yes,Small Library Organizer,Yes,6,Famisafe,Great Plains Comm,DSL,Yes,n/a,N/A,50.1 Mbps - 100.0 Mbps,No,n/a,61,61,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,,1,20,0.50,0,0,0.00,0,0,0.00,0.50,Director,$14.00,4,5,Diane Limoges,Director,12/4/24
,ELGIN PUBLIC LIBRARY,503 SOUTH SECOND STREET,PO BOX 240,ELGIN,68636,ANTELOPE,(402) 843-2460,Three Rivers Library System,707,707,0,0,1976,2021,Yes,No,No,No,NA,"1,680",52,CI,SO,PL1,Y,ME,N,1,"1,040",10/1/2023,9/30/2024,"$35,000",,,Antelope,"$3,605",,,"$38,605",$907,$0,$0,$0,$907,"$2,000",,$0 ,"$2,000",$0,$75,"Thrivent, Donations, Grant","$4,305","$4,380","$45,892",$0,$0,$0,$0,$0,No,NA,$0,$0,0,"$16,315","$1,284","$17,599",,,,,,,,1,,1,,"$3,078",$500,"$1,820","$5,398",$0,$800,$0,$21,"$3,300","$4,121","$27,118","$23,178","8,931",313,34,"9,210",289,31,1,319,168,0,0,168,5,1,1,5,"Puzzles, games, Cricut, headphones",79,6,0,85,"9,467",350,35,"9,782",laptop,2,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,276,"4,273",CT - Annual Count,16,CT - Annual Count,371,CT - Annual Count,"1,334","1,743",25,"3,102",753,33,786,7,0,7,686,80,766,0,0,0,"1,559","2,780","1,856","4,661",Yes,No,Yes,No,No,No,0,98,0,N/A,NA,10,25,35,0,11,3,49,43,6,0,49,413,429,842,0,53,96,991,894,97,0,991,0,0,0,149,0,0,Yes,461,No,0,No,0,Yes – for some patrons,1,1,,1,NA,1,1,1,1,1,,1,Yes,14,No,,,,1,,No,Apollo/Biblionix,Yes,2,Norton,Stealth Broadband,Fiber Optic,Yes,NA,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,544,460,Yes - Permanently allocated makerspace,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Osmo Genius Kits,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,No,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,No,N/A,2,20,0.50,0,0,0.00,0,0,0.00,0.50,Co-Directors,$14.17,4,0,Barb Bode and Dianne Gunderson,Co-Directors,2/7/2025
,ELM CREEK PUBLIC LIBRARY,241 NORTH TYLER STREET,PO BOX 489,ELM CREEK,68836,BUFFALO,(308) 856-4394,Central Plains Library System,978,978,0,0,1927,1976,Yes,No,No,No,,"1,235",52,CI,SO,PL1,Y,ME,N,1,"1,152",10/1/2023,9/30/2024,"$24,889",,,,,Muni Equalization,"$11,500","$36,389",$713,$0,$0,$0,$713,$0,,$0 ,$0,$0,$0,,,$0,"$37,102",$0,$0,$0,$0,$0,No,,,,,"$21,701","$1,660","$23,361",,,,,,,,,,,,"$3,254",$0,$0,"$3,254",$260,$0,$960,$70,"$12,247","$13,537","$40,152",$0,"5,131",358,454,"5,035",0,0,0,0,0,0,0,0,3,0,0,3,n/a,0,0,0,0,"5,131",358,454,"5,035",n/a,0,No,No,No,No,No,No,No,No,No,No,No,No,96,"2,080",ES - Annual Estimate Based on Typical Week(s),18,ES - Annual Estimate Based on Typical Week(s),85,ES - Annual Estimate Based on Typical Week(s),306,232,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,306,232,538,No,No,Yes,No,No,No,0,432,0,N/A,0,0,52,52,0,36,1,89,76,13,0,89,0,624,624,0,288,400,"1,312",800,512,0,"1,312",0,0,0,48,0,24,Yes,12,Yes,3,No,0,No,,,,,,1,,,,,,1,No,n/a,N/A,,,,1,,Yes,libib,Yes,1,n/a,great plains communication,Area Wireless,Yes,n/a,N/A,100.0 Mbps - 1 Gbps,No,n/a,n/a,234,Yes - Permanently allocated makerspace,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,,,,,,,,,,No,No,No,No,No,No,No,No,No,n/a,2,32,0.80,0,0,0.00,0,0,0.00,0.80,head librarian,$14.49,0,0,Jane Walker,Library Director,02/05/25
,ELMWOOD PUBLIC LIBRARY,124 WEST D STREET,PO BOX 283,ELMWOOD,68349,CASS,(402) 994-4125,Three Rivers Library System,685,685,0,0,1990,,Yes,No,No,No,,"3,200",51,CI,SO,PL1,Y,ME,N,1,"1,092",10/1/2023,9/30/2024,"$34,000",,,,,,,"$34,000",$664,$0,"$1,000",$0,"$1,664","$2,422",,$0 ,"$2,422",$0,$0,,,$0,"$38,086",$0,$0,$0,$0,$0,Yes,Patrons outside village limits.,$10,$10,38,"$16,092","$2,984","$19,076",,,,,,,,,,,,"$3,568",$0,$0,"$3,568",$0,$0,$780,$0,"$11,951","$12,731","$35,375",$0,"14,476",743,"1,349","13,870",182,10,0,192,322,7,0,329,0,0,0,0,"Cake pans, wattage tester, telescope",98,0,0,98,"15,078",760,"1,349","14,489",N/A,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,158,"2,993",CT - Annual Count,78,ES - Annual Estimate Based on Typical Week(s),133,CT - Annual Count,799,"1,485",8,"2,292",995,217,"1,212",193,9,202,"1,184",152,"1,336",0,0,0,"2,750","3,171","1,863","5,042",No,No,Yes,No,No,No,0,32,0,N/A,N/A,3,3,6,1,1,0,8,8,0,0,8,50,100,150,6,55,0,211,211,0,0,211,0,0,0,1,0,1,Yes,55,Yes,5,No,0,Yes – for all items,1,1,1,1,,,1,1,1,1,,,Yes,0,No,,1,,1,,No,Follett,Yes,3,None,Future Technologies,Other - specify using the State Note,Yes,105,ES - Annual Estimate Based on Typical Week(s),24.1 Mbps - 50.0 Mbps,No,N/A,26,26,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,,,,,,,,No,,,,,,,,,,,No,No,No,No,No,No,No,No,,6,21,0.53,0,0,0.00,0,0,0.00,0.53,Library Director,$19.00,6,1,Anne Pope,Director,01/10/2025
,ELWOOD PUBLIC LIBRARY,306 CALVERT ST,PO BOX 327,ELWOOD,68937,GOSPER,(308) 785-8155,Central Plains Library System,637,637,0,0,2012,N/A,Yes,No,No,No,n/a,"3,050",52,CI,SO,PL1,Y,ME,N,1,"1,352",10/1/2023,9/30/2024,"$34,500",,,Gosper,"$11,332",,,"$45,832",$799,$0,$0,$0,$799,$0,,$0 ,$0,$0,$0,monetary donation,"$4,000","$4,000","$50,631",$0,$0,$0,$0,$0,No,n/a,$0,n/a,2,"$20,626","$1,622","$22,248",,,,,1,,,1,1,1,n/a,"$3,200",$500,$0,"$3,700",$0,$691,$0,$400,"$10,266","$11,357","$37,305",$0,"20,236",289,52,"20,473",369,6,0,375,"1,462",0,56,"1,406",1,0,0,1,cake pans,150,3,1,152,"22,217",298,109,"22,406",0,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,281,"2,001",CT - Annual Count,5,ES - Annual Estimate Based on Typical Week(s),258,CT - Annual Count,"10,653","3,551",17,"14,221",278,16,294,105,2,107,695,147,842,0,0,0,"1,243","11,731","3,716","15,464",No,Yes,Yes,No,Yes,No,03,3,0,N/A,n/a,1,2,3,0,2,0,5,4,1,0,5,22,55,77,0,25,0,102,90,12,0,102,0,0,0,0,0,0,Yes,40,No,n/a,No,n/a,No,,,,,,,,,,,,,Yes,60,No,,1,,1,n/a,Yes,None,Yes,3,None,Great Plains,Cable,Yes,n/a,N/A,50.1 Mbps - 100.0 Mbps,,,74,67,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,No,No,Yes - Informal or one on one training,No,No,No,No,No,No,n/a,2,40,1,0,0,0.00,0,0,0.00,1,Director,$21.00,1,2,Jane Hilton,Director,2/11/2025
,EMERSON PUBLIC LIBRARY,205 WEST 3RD,PO BOX 160,EMERSON,68733,DIXON,(402) 695-2449,Three Rivers Library System,806,806,0,0,1982,2023,Yes,No,No,No,,2970,52,CI,SO,PL1,Y,ME,N,1,"1,092",10/1/2023,9/30/2024,$0,,,"Dixon, Thurston, Dakota","$31,588",,,"$31,588",$689,$0,$0,$0,$689,$0,,$0 ,$0,$0,$0,"Fines, copies, NPPD",$524,$524,"$32,801",$0,$0,$0,$0,$0,No,N/A,$0,$0,0,"$12,128","$2,292","$14,420",,,,,,,,1,,,,"$5,752",$500,$942,"$7,194",$0,"$1,042",$0,$0,"$5,970","$7,012","$28,626",$0,"7,225",361,428,"7,158",26,0,0,26,653,85,0,738,0,0,0,0,None,0,0,0,0,"7,904",446,428,"7,922",one microfilm; one ONYX video magnifier,3,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,674,"2,332",CT - Annual Count,72,CT - Annual Count,47,CT - Annual Count,"2,902",258,0,"3,160",722,31,753,118,0,118,436,51,487,0,0,0,"1,358","4,178",340,"4,518",No,No,Yes,No,No,No,1,77,N/A,N/A,N/A,0,11,11,0,12,0,23,23,0,0,23,0,40,40,0,47,0,87,87,0,0,87,0,0,0,0,0,0,Yes,12,Yes,0,Yes,20,Yes – for all items,1,1,1,1,,,1,1,1,1,,,Yes,1,No,,1,,1,,No,Follett Destiny,Yes,11,Open DNS,Fastwyre,Cable,Yes,N/A,N/A,24.1 Mbps - 50.0 Mbps,No,0,47,15,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,1,25,0.63,0,0,0.00,0,0,0.00,0.63,Director,$13.00,0,0,LaVaille Reifenrath,Director,11/11/2024
,EUSTIS PUBLIC LIBRARY,108 NORTH MORTON STREET,PO BOX 68,EUSTIS,69028,FRONTIER,(308) 486-2651,Central Plains Library System,398,398,0,0,1930,1980,Yes,Yes,,,2026,800,52,CI,SO,PL1,Y,ME,N,1,288,10/1/2023,9/30/2024,"$4,000",,,,,,,"$4,000",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,Donations,$995,$995,"$5,195",$0,$0,$0,$0,$0,No,,,,,"$2,676",$437,"$3,113",,,,,,1,,,,,,"$2,808",$0,"$1,679","$4,487",$0,$0,$0,$0,$0,$0,"$7,600",$0,"5,000",755,100,"5,655",20,0,0,20,0,0,0,0,1,0,0,1,kids activity backpack,16,0,0,16,"5,036",755,100,"5,691",N/A,0,No,No,No,No,No,No,No,No,No,No,No,No,111,650,ES - Annual Estimate Based on Typical Week(s),0,ES - Annual Estimate Based on Typical Week(s),2,ES - Annual Estimate Based on Typical Week(s),695,246,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,695,246,941,No,No,Yes,No,No,No,0,0,0,No,,1,1,2,0,0,1,3,3,0,0,3,56,45,101,0,0,40,141,141,0,0,141,0,0,0,0,0,0,Yes,112,No,0,No,0,No,,,,,,,,,,,,,No,,No,,,,,,No,Resource Mate,No,1,basic ABG,consolidated,Area Wireless,No,0,ES - Annual Estimate Based on Typical Week(s),24.1 Mbps - 50.0 Mbps,N/A,,25,26,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,1,6,0.15,0,0,0.00,0,0,0.00,0.15,Librarian,$12.50,0,0,Karrie Woehrle,Secretary of the Library Board,12/7/24
,EWING TOWNSHIP LIBRARY,202 EAST NEBRASKA,PO BOX 55,EWING,68735,HOLT,N/A,Central Plains Library System,376,376,0,0,1912,,Yes,No,No,No,,1200,52,CI,SO,PL1,Y,ME,N,1,572,7/1/2023,6/30/2024,$0,Ewing Township,"$14,000",,,,,"$14,000",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,,,$0,"$14,200",$0,$0,$0,$0,$0,No,,$5.00,,26,"$6,120",$986,"$7,106",0,0,0,0,0,0,0,0,0,0,,"$1,751",$0,$0,"$1,751",$0,$0,$0,$0,"$5,618","$5,618","$14,475",$0,"2,367",420,108,"2,679",0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,"2,367",420,108,"2,679",None,0,No,No,No,No,No,No,No,No,No,No,No,No,26,680,CT - Annual Count,104,ES - Annual Estimate Based on Typical Week(s),0,CT - Annual Count,474,206,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,474,206,680,No,No,Yes,No,No,No,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,No,,No,,Yes – for all items,1,0,0,0,,0,1,1,1,1,,0,No,,,0,0,0,1,,No,None,No,0,None,None,,No,NA,N/A,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,1,11,0.28,0,0,0.00,0,0,0.00,0.28,Librarian,$12.00,0,0,Idella Tuttle,Librarian,11/19/2024
,EXETER PUBLIC LIBRARY,202 SOUTH EXETER AVENUE,PO BOX 96,EXETER,68351,FILLMORE,402-266-3031,Southeast Library System,520,520,0,0,1974,1974,Yes,No,No,No,NA,"1,865",52,CI,SO,PL1,Y,ME,N,1,"1,456",10/1/2023,9/30/2024,"$39,414",,,,,,,"$39,414",$642,$0,$0,$0,$642,$0,,$0 ,$0,$0,$0,,,$0,"$40,056",$0,$0,$0,$0,$0,No,,$0,$0,0,"$22,281","$1,704","$23,985",,,,,0,,,1,1,1,,"$6,527",$500,$0,"$7,027",$800,"$1,800",$600,0,"$6,628","$9,828","$40,840",$0,"9,547",473,476,"9,544",295,4,0,299,671,2,0,673,2,0,0,2,none,0,0,0,0,"10,513",479,476,"10,516",Headphones 2,52,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,221,"3,372",CT - Annual Count,550,CT - Annual Count,130,CT - Annual Count,"1,359","1,359",0,"2,718",281,61,342,46,0,46,294,103,397,0,0,0,785,"1,980","1,523","3,503",No,No,No,No,No,No,30,5,2,No,0,70,146,216,0,0,0,216,208,8,0,216,176,"1,342","1,518",0,0,0,"1,518","1,250",268,0,"1,518",0,0,0,193,0,8,Yes,21,No,,Yes,8,No,,,,,,,,,,,,,No,,,,1,,1,,No,Biblionix Apollo,Yes,2,DNSFilter,Glenwood,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,No,,318,197,Yes - Permanently allocated makerspace,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,No,No,No,No,No,No,No,No,,2,28,0.70,0,0,0.00,0,0,0.00,0.70,Director,$15.00,13,2,Cindy Markowski,Director,1/14/25
,FAIRBURY PUBLIC LIBRARY,601 7TH STREET,601 7TH STREET,FAIRBURY,68352,JEFFERSON,(402) 729-2843,Southeast Library System,"3,832","3,832",0,0,1909,1989,Yes,No,No,No,N/A,"4,800",52,CI,SO,PL1,Y,ME,N,1,"2,444",10/1/2023,9/30/2024,"$235,000",,,,,,,"$235,000","$1,351",$500,$0,$0,"$1,851",$0,,$0 ,$0,$393,$0,"Foundation, charges for services","$11,672","$12,065","$248,916",$0,$0,$0,"$22,564","$22,564",Yes,Non-city residents,$5,$15,127,"$137,432","$57,068","$194,500",1,1,1,1,1,1,1,1,1,1,None,"$14,649","$1,000",$0,"$15,649","$4,437","$5,919",$168,"$1,306","$31,056","$42,886","$253,035","$40,433","18,540","1,142",684,"18,998","1,097",75,169,"1,003","1,230",36,138,"1,128",31,0,7,24,"Cakepans, Puzzles, Seeds, STEAM kits",170,29,3,196,"21,037","1,282",994,"21,325",Microfilm,0,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,"1,479","15,870",CT - Annual Count,188,CT - Annual Count,"1,993",CT - Annual Count,"8,718","6,326",224,"15,268","2,119",423,"2,542",759,7,766,"2,952",594,"3,546",0,0,0,"6,854","14,548","7,350","22,122",Yes,No,Yes,Yes,No,No,117,256,41,Yes,1105,16,11,27,0,16,10,53,50,3,0,53,42,380,422,0,157,350,929,752,177,0,929,0,0,0,14,0,10,Yes,85,No,0,Yes,62,No,0,0,0,0,N/A,1,0,0,0,0,N/A,1,No,N/A,N/A,0,1,0,1,N/A,Yes,Biblionix,Yes,14,NGPFBlocker,Windstream,Fiber Optic,Yes,5581,CT - Annual Count,50.1 Mbps - 100.0 Mbps,Yes,Deep Freeze,90,89,Yes -Temporary or shared space for makerspace,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Citizen Science Kits,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,No,No,No,No,N/A,6,140,4,1,40,1,0,0,0.00,4,Library Director,$29.82,0,0,Debbie Aden,Library Director,1/23/2025
,FAIRFIELD PUBLIC LIBRARY,412 NORTH D STREET,PO BOX 278,FAIRFIELD,68938,CLAY,(402) 726-2220,Southeast Library System,333,333,0,0,1913,2023,No,No,No,No,,"1,035",52,CI,SO,PL1,Y,ME,N,1,604,10/1/2023,9/30/2024,"$16,500",,,,,,,"$16,500",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,,,$0,"$16,700",$0,$0,$0,$0,$0,No,,,,,"$9,087",$695,"$9,782",,,,,,,,,,,,$419,$0,$0,$419,"$1,625",$0,$0,$0,"$3,951","$5,576","$15,777","$11,326","6,457",173,257,"6,373",68,0,0,68,836,0,260,576,1,0,0,1,None,0,0,0,0,"7,361",173,517,"7,017",,,No,No,No,No,No,No,No,No,No,No,No,No,113,512,CT - Annual Count,350,ES - Annual Estimate Based on Typical Week(s),20,ES - Annual Estimate Based on Typical Week(s),107,24,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,107,24,131,No,No,Yes,No,No,No,0,3,2,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,No,,No,,No,,,,,,,,,,,,,No,,,,,,,,No,Library Thing,Yes,2,netnanny,Glenwood,DSL,Yes,NA,N/A,12.1 Mbps - 18.0 Mbps,No,,N/A,14,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,Yes - Informal or one on one training,,,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,2,12,0.30,0,0,0.00,0,0,0.00,0.30,Library Director,$15.00,2,1,Sonnie Otto,Library Director,1/14/25
,FAIRMONT PUBLIC LIBRARY,600 F STREET,P O Box 428,FAIRMONT,68354,FILLMORE,402-268-6081,Southeast Library System,590,590,0,0,1969,,Yes,No,No,No,,"1,700",52,CI,SO,PL1,Y,ME,N,1,"1,768",10/1/2023,9/30/2024,"$88,773",,,,,,,"$88,773",$655,$0,$0,$0,$655,$0,,$0 ,$0,$0,$0,Tous Foundation,"$3,000","$3,000","$92,428",$0,$0,$0,$0,$0,Yes,Anyone outside of city limits,$15.00,$15.00,12,"$54,564","$30,976","$85,540",1,1,1,1,1,1,1,1,1,1,,"$6,600",$500,$0,"$7,100",$203,$997,$997,$256,"$7,429","$9,882","$102,522",$0,"9,912",719,481,"10,150",189,5,76,118,695,10,103,602,40,0,9,31,"Puzzles, puppets, cake pans",359,15,169,205,"11,155",749,829,"11,075",Microfilm/Games,38,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,284,"3,182",CT - Annual Count,143,CT - Annual Count,875,CT - Annual Count,"1,910",545,625,"3,080",284,7,291,12,1,13,420,21,441,0,0,0,745,"2,626",574,"3,825",No,Yes,Yes,No,No,No,129,32,20,No,0,23,23,46,16,20,3,85,82,3,0,85,129,129,258,82,82,82,504,304,200,0,504,0,0,0,63,364,3,Yes,15,Yes,2,No,0,No,,,,,,,,,,,,,No,,No,,,,,,Yes,Apollo Biblionix,Yes,4,DNSFilter,Network Nebraska,Fiber Optic,Yes,NA,CT - Annual Count,100.0 Mbps - 1 Gbps,Yes,Data 443,93,320,Yes -Temporary or shared space for makerspace,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Games/Paper Crafts/Cricut/Sewing,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,Yes - Informal or one on one training,No,No,No,,4,40,1,0,0,0.00,0,6,0.14,1,Library Director,$20.48,10,1,Stephanie Chambers,Library Director,01/15/2025
